"id","municipio_id","nombre","created_at","updated_at"
"1","2","Ahuachapán",,
"2","2","Apaneca",,
"3","2","Concepción de Ataco",,
"4","2","Tacuba",,
"5","1","Atiquizaya",,
"6","1","El Refugio",,
"7","1","San Lorenzo",,
"8","1","Turín",,
"9","3","Guaymango",,
"10","3","Jujutla",,
"11","3","San Francisco Menéndez",,
"12","3","San Pedro Puxtla",,
"13","4","Dolores",,
"14","5","Cinquera",,
"15","5","Ilobasco",,
"16","4","Guacotecti",,
"17","4","San Isidro",,
"18","4","Sensuntepeque",,
"19","4","Victoria",,
"20","5","Jutiapa",,
"21","5","Tejutepeque",,
"22","6","Citalá",,
"23","6","La Palma",,
"24","6","San Ignacio",,
"25","7","Agua Caliente",,
"26","7","San Fernando",,
"27","7","San Francisco Morazán",,
"28","7","San Rafael",,
"29","7","Santa Rita",,
"30","7","Tejutla",,
"31","8","Arcatao",,
"32","8","Azacualpa",,
"33","8","Cancasque",,
"34","8","Chalatenango",,
"35","8","Comalapa",,
"36","8","Concepción Quezaltepeque",,
"37","7","Dulce Nombre de María",,
"38","7","El Paraíso",,
"39","7","La Reina",,
"40","7","Nueva Concepción",,
"41","8","El Carrizal",,
"42","8","Nombre de Jesús",,
"43","8","Nueva Trinidad",,
"44","8","Ojos de Agua",,
"45","8","Potonico",,
"46","8","San Antonio de la Cruz",,
"47","8","San Antonio Los Ranchos",,
"48","8","San Francisco Lempa",,
"49","8","San Isidro Labrador",,
"50","8","San Luis del Carmen",,
"51","8","San Miguel de Mercedes",,
"52","8","La Laguna",,
"53","8","Las Vueltas",,
"54","8","Las Flores",,
"55","9","Suchitoto",,
"56","9","San José Guayabal",,
"57","9","Oratorio de Concepción",,
"58","9","San Bartolomé Perulapía",,
"59","9","San Pedro Perulapán",,
"60","10","Cojutepeque",,
"61","10","Candelaria",,
"62","10","El Carmen",,
"63","10","El Rosario",,
"64","10","Monte San Juan",,
"65","10","San Cristóbal",,
"66","10","San Rafael Cedros",,
"67","10","San Ramón",,
"68","10","Santa Cruz Analquito",,
"69","10","Santa Cruz Michapa",,
"70","10","Tenancingo",,
"71","11","Quezaltepeque",,
"72","11","San Matías",,
"73","11","San Pablo Tacachico",,
"74","12","San Juan Opico",,
"75","13","Sacacoyo",,
"76","13","Tepecoyo",,
"77","15","Teotepeque",,
"78","16","Santa Tecla",,
"79","16","Comasagua",,
"80","17","Cuyultitán",,
"81","17","Olocuilta",,
"82","14","Zaragoza",,
"83","15","Chiltiupán",,
"84","15","Jicalapa",,
"85","15","La Libertad",,
"86","15","Tamanique",,
"87","12","Ciudad Arce",,
"88","13","Colón",,
"89","13","Jayaque",,
"90","13","Talnique",,
"91","14","Antiguo Cuscatlán",,
"92","14","Huizúcar",,
"93","14","Nuevo Cuscatlán",,
"94","14","San José Villanueva",,
"95","17","San Juan Talpa",,
"96","17","San Luis Talpa",,
"97","18","San Juan Tepezontes",,
"98","18","San Luis La Herradura",,
"99","18","San Miguel Tepezontes",,
"100","18","San Pedro Nonualco",,
"101","18","Santa María Ostuma",,
"102","18","Mercedes La Ceiba",,
"103","18","Paraíso de Osorio",,
"104","18","San Antonio Masahuat",,
"105","18","San Emigdio",,
"106","17","San Pedro Masahuat",,
"107","17","Tapalhuaca",,
"108","17","San Francisco Chinameca",,
"109","18","El Rosario",,
"110","18","Jerusalén",,
"111","18","Santiago Nonualco",,
"112","19","San Juan Nonualco",,
"113","19","San Rafael Obrajuelo",,
"114","19","Zacatecoluca",,
"115","20","Anamorós",,
"116","20","Bolívar",,
"117","20","Concepción de Oriente",,
"118","20","El Sauce",,
"119","20","Lislique",,
"120","20","Nueva Esparta",,
"121","20","Pasaquina",,
"122","20","Polorós",,
"123","20","San José",,
"124","20","Santa Rosa de Lima",,
"125","21","Conchagua",,
"126","21","El Carmen",,
"127","21","Intipucá",,
"128","21","La Unión",,
"129","43","Santa Elena",,
"130","43","San Dionisio",,
"131","43","Santa María",,
"132","21","San Alejo",,
"133","21","Yayantique",,
"134","21","Yucuaiquín",,
"135","22","Arambala",,
"136","22","Cacaopera",,
"137","22","Corinto",,
"138","22","El Rosario",,
"139","22","Joateca",,
"140","22","Jocoaitique",,
"141","22","Meanguera",,
"142","22","Perquín",,
"143","22","San Fernando",,
"144","22","San Isidro",,
"145","22","Torola",,
"146","23","Chilanga",,
"147","43","Tecapán",,
"148","43","Usulután",,
"149","44","Jiquilisco",,
"150","44","Puerto El Triunfo",,
"151","44","San Agustín",,
