"id","name","guard_name","created_at","updated_at"
"1","super_admin","web","20/1/2026 20:21:31","20/1/2026 20:21:31"
"2","Administracion","web","20/1/2026 20:21:39","20/1/2026 20:27:48"
"3","Empleados","web","4/3/2026 17:29:52","4/3/2026 17:29:52"
